numero_ley,resumen,url
7111,"DECLáRASE DE UTILIDAD PúBLICA Y SUJETO A EXPROPIACIóN INMUEBLE UBICADO EN LA CIUDAD DE OLAVARRIA, PARTIDO DEL MISMO NOMBRE SERá DESTINADO A LA CONSTRUCCIóN DEL EDIFICIO QUE CONCENTRARá LAS OFICINAS PúBLICAS PROVINCIALES.",https://normas.gba.gob.ar/ar-b/ley/1965/7111/8160
917,PRESUPUESTO DEL BANCO DE LA PROVINCIA PARA 1874.,https://normas.gba.gob.ar/ar-b/ley/1874/917/14896
11335,DECLáRASE DE UTILIDAD PúBLICA Y SUJETO A EXPROPIACIóN UN LOTE DE TERRENO UBICADO EN EL PARTIDO DE LAPRIDA DESTINADO AL USO DEL SINDICATO DE OBREROS Y EMPLEADOS DEL MUNICIPIO CITADO.,https://normas.gba.gob.ar/ar-b/ley/1992/11335/5493
12723,"FACULTA AL ""ENTE PARA EL FINANCIAMIENTO DE TRASPLANTE DE óRGANOS"" A CELEBRAR CON OBRAS SOCIALES CONVENIOS PARA POSIBILITAR ACCESO DE SUS BENEFICIARIOS A TRATAMIENTOS TRASPLANTOLóGICOS (TRANSPLANTE)",https://normas.gba.gob.ar/ar-b/ley/2001/12723/4138
5723,"APRUEBA EL CONVENIO SOBRE IMPUESTO A LAS ACTIVIDADES LUCRATIVAS, CELEBRADO CON LA MUNICIPALIDAD DE LA CIUDAD DE BUENOS AIRES, EL DíA 28 DE MAYO DE 1953.",https://normas.gba.gob.ar/ar-b/ley/1953/5723/9534
7109,(DEROGADA POR LEY 9618) APRUéBASE EL CONVENIO CELEBRADO POR LA PROVINCIA Y EL PODER EJECUTIVO DE LA NACIóN SOBRE TRáMITE UNIFORME PARA EXHORTOS.(VER LEY 7957),https://normas.gba.gob.ar/ar-b/ley/1965/7109/8171
2936,PAGO DE LOS GASTOS DE POLICíA. MOVIMIENTO REVOLUCIONARIO DEL 4 DE FEBRERO DE 1905.,https://normas.gba.gob.ar/ar-b/ley/1905/2936/14395
4326,"DECLARANDO LOS PARTIDOS DE BAHIA BLANCA, PUAN, TORNQUIST, PATAGONES Y VILLARINO, ZONAS DE RESERVA DE LA PROVINCIA, DE PETROLEO E HIDROCARBUROS, DE ACUERDO LEY NACIONAL 12161.",https://normas.gba.gob.ar/ar-b/ley/1935/4326/10865
1499,PENSION A LA VIUDA E HIJOS DE JOSE M. ZELIS.,https://normas.gba.gob.ar/ar-b/ley/1882/1499/11830
1500,AUTORIZANDO AL DIRECTORIO DEL FERROCARRIL OESTE A CONSTRUIR RAMALES FERROVIARIOS A LA CAPITAL DE LA PROVINCIA .,https://normas.gba.gob.ar/ar-b/ley/1882/1500/11846
